Date,SP500_price,NASDAQ_price,ARKK_price,IVV_price,QQQ_price,SPY_price,VTI_price,SP500_ret,NASDAQ_ret,ARKK_ret,IVV_ret,QQQ_ret,SPY_ret,VTI_ret
2019-04-12,2907.409912109375,7984.16015625,46.74199676513672,263.1490783691406,178.4013671875,262.8746337890625,134.6650848388672,0.006609324208602496,0.00463050542593102,0.002275032287495815,0.006754452443001657,0.004323714941650403,0.006765905558294927,0.006703477408230629
2019-04-15,2905.580078125,7976.009765625,46.25008010864258,262.9328308105469,178.43019104003906,262.70245361328125,134.55641174316406,-0.0006293691084816588,-0.0010208200318502225,-0.010524083063157552,-0.0008217682536983961,0.0001615674419623847,-0.000654989693373853,-0.0008069879125176538
2019-04-16,2907.06005859375,8000.22998046875,46.56837844848633,263.131103515625,179.04458618164062,262.8746337890625,134.59266662597656,0.0005093580038946222,0.003036633047784676,0.006882114346527857,0.0007540812019057874,0.0034433362314996163,0.00065541898605459,0.00026944002402284895
2019-04-17,2900.449951171875,7996.080078125,45.38198471069336,262.4375305175781,179.6685791015625,262.2313537597656,134.094482421875,-0.0022738117853239315,-0.0005187228809523381,-0.025476380696943357,-0.0026358457391780776,0.0034851258741150914,-0.0024470981472219933,-0.0037014216048336657
2019-04-18,2905.030029296875,7998.06005859375,45.42056655883789,263.0049133300781,179.8990478515625,262.7476806640625,134.29376220703125,0.0015790922795098083,0.0002476188894313669,0.0008501577969868279,0.0021619728374253633,0.0012827437671765196,0.00196897471219204,0.001486114727146548
2019-04-22,2907.969970703125,8015.27001953125,45.574893951416016,263.2751159667969,180.40780639648438,262.9742126464844,134.32998657226562,0.001012017561471401,0.0021517669049018195,0.003397742570608653,0.0010273672582672422,0.0028280224436856294,0.000862165488385358,0.00026973974545829726
2019-04-23,2933.679931640625,8120.81982421875,46.71306228637695,265.5628662109375,182.70230102539062,265.3388366699219,135.67955017089844,0.008841205788409079,0.013168590007610614,0.024973581642872444,0.00868958023525912,0.01271837773950657,0.008991847526191643,0.010046629446410105
2019-04-24,2927.25,8102.009765625,46.30794906616211,265.0044860839844,182.1262664794922,264.7499084472656,135.49839782714844,-0.002191763174733685,-0.002316275819548741,-0.008672375570911495,-0.0021026287858695314,-0.00315285873612714,-0.002219532692791848,-0.001335148469477021
2019-04-25,2926.169921875,8118.68017578125,45.8931999206543,264.84234619140625,182.86549377441406,264.58685302734375,135.27195739746094,-0.0003689736527457965,0.00205756480657171,-0.008956327236933848,-0.0006118382936609601,0.004058872502089805,-0.0006158847074893004,-0.0016711668426985238
2019-04-26,2939.8798828125,8146.39990234375,45.999298095703125,266.13031005859375,183.0286865234375,265.8190002441406,136.00564575195312,0.0046852921407636305,0.003414314391296136,0.002311849581904557,0.0048631341842013676,0.0008924195902413334,0.0046568724133453365,0.005423802306167902
